bigrams1,bigrams2,problaility
ihauntwizards,see,0.001
ihauntwizards,<,0.001
ihauntwizards,amazing,0.001
luke,oh,0.001
luke,luke,0.001
luke,dont,0.001
luke,answer,0.001
luke,<,0.001
luke,pleease,0.001
luke,try,0.001
luke,love,0.001
luke,music,0.001
luke,hear,0.001
luke,whole,0.001
luke,day,0.001
luke,really,0.001
buckhollywood,cant,0.001
buckhollywood,watch,0.001
buckhollywood,im,0.001
buckhollywood,uk,0.001
buckhollywood,tell,0.001
buckhollywood,<,0.001
buckhollywood,please,0.001
buckhollywood,x,0.001
wont,forget,0.001
wont,today,0.001
wont,<,0.001
soycamo,right,0.001
soycamo,weï¿½re,0.001
soycamo,page,0.001
soycamo,write,0.001
soycamo,ruby,0.001
soycamo,cocoa,0.001
soycamo,<,0.001
liverpooltx,lol,0.001
liverpooltx,<,0.001
liverpooltx,okay,0.001
liverpooltx,permission,0.001
liverpooltx,ill,0.001
liverpooltx,try,0.001
liverpooltx,give,0.001
liverpooltx,credit,0.001
alixsays,im,0.001
alixsays,going,0.001
alixsays,miss,0.001
alixsays,freshman,0.001
alixsays,year,0.001
alixsays,<,0.001
domkoenig,nice,0.001
domkoenig,pic,0.001
domkoenig,like,0.001
domkoenig,shirt,0.001
domkoenig,<,0.001
mykiaisosm,omj,0.001
mykiaisosm,ur,0.001
mykiaisosm,bad,0.001
mykiaisosm,mean,0.001
mykiaisosm,meet,0.001
mykiaisosm,u,0.001
mykiaisosm,2nd,0.001
mykiaisosm,grade,0.001
mykiaisosm,even,0.001
mykiaisosm,thouggh,0.001
mykiaisosm,hated,0.001
mykiaisosm,stayed,0.001
mykiaisosm,like,0.001
cyberela,ã¼bersuccesful,0.001
cyberela,called,0.001
cyberela,quota,0.001
cyberela,classicquot,0.001
bathroom,sparkling,0.001
bathroom,btw,0.001
bathroom,<,0.001
bathroom,since,0.001
bathroom,7,0.001
bathroom,thats,0.001
bathroom,got,0.001
bathroom,ta,0.001
bathroom,wrong,0.001
bathroom,right,0.001
bathroom,next,0.001
sallythatgirl,poor,0.001
sallythatgirl,l,0.001
sallythatgirl,<,0.001
sleepy,<,0.001
sleepy,hate,0.001
sleepy,8am,0.001
sleepy,casb,0.001
spencerpratt,cool,0.001
work,time,0.001
work,http//twitpic,0.001
work,<,0.001
work,com/3l589,0.001
eating,chocolate,0.001
eating,brydie,0.001
eating,x,0.001
moz,cancelled,0.001
moz,<,0.001
moz,poor,0.001
moz,akila,0.001
missed,game,0.001
marginatasnaily,yeah,0.001
marginatasnaily,used,0.001
marginatasnaily,loads,0.001
marginatasnaily,<,0.001
marginatasnaily,hadnt,0.001
marginatasnaily,ages,0.001
marginatasnaily,tonight,0.001
marginatasnaily,though,0.001
marginatasnaily,seems,0.001
marginatasnaily,scarey,0.001
marginatasnaily,xxx,0.001
finally,back,0.001
finally,work,0.001
finally,<,0.001
finally,wasted,0.001
finally,week,0.001
got,webcam,0.001
watch,student,0.001
watch,play,0.001
watch,<,0.001
watch,back,0.001
watch,930,0.001
watch,phone,0.001
watch,tweet,0.001
craving,junk,0.001
craving,food,0.001
craving,<,0.001
bossmobb,goodmorning,0.001
bossmobb,u,0.001
bossmobb,n,0.001
bossmobb,goodnite,0.001
bossmobb,im,0.001
bossmobb,goin,0.001
bossmobb,bed,0.001
bossmobb,<,0.001
newerdeal,pedometer,0.001
newerdeal,nintendo,0.001
newerdeal,ds,0.001
newerdeal,didnt,0.001
newerdeal,think,0.001
newerdeal,mentioning,0.001
cat,appt,0.001
cat,afternoon,0.001
cat,345,0.001
cat,<,0.001
cat,ate,0.001
cat,little,0.001
cat,morning,0.001
cat,shes,0.001
cat,hiding,0.001
cat,right,0.001
cat,im,0.001
cat,worried,0.001
effed,stats,0.001
scared,thunder,0.001
scared,lightning,0.001
scared,<,0.001
scared,careful,0.001
scared,georgettalt3,0.001
going,rawon,0.001
going,nguling,0.001
going,cikajang,0.001
going,<,0.001
going,yum,0.001
meggles89,miss,0.001
meggles89,face,0.001
meggles89,<,0.001
meggles89,bonnaroo,0.001
stupid,twitter,0.001
stupid,keeps,0.001
stupid,telling,0.001
stupid,capacity,0.001
work,completely,0.001
work,bored,0.001
work,blah,0.001
work,need,0.001
work,hug,0.001
quoti,wan,0.001
quoti,na,0.001
quoti,wake,0.001
quoti,arequot,0.001
quoti,love,0.001
quoti,goo,0.001
quoti,dolls,0.001
quoti,<,0.001
quoti,http//blip,0.001
quoti,fm/4lfcc,0.001
everyone,grumpy,0.001
everyone,guillot,0.001
everyone,house,0.001
everyone,tonight,0.001
everyone,<,0.001
everyone,including,0.001
everyone,im,0.001
everyone,still,0.001
everyone,sulking,0.001
ferrite,dave,0.001
ferrite,<,0.001
ferrite,dont,0.001
ferrite,think,0.001
ferrite,guys,0.001
ferrite,ever,0.001
ferrite,got,0.001
ferrite,rsvp,0.001
dr,office,0.001
dr,<,0.001
dr,hopefully,0.001
dr,finding,0.001
dr,ive,0.001
dr,sick,0.001
dr,hard,0.001
dr,keep,0.001
dr,eyes,0.001
dr,open,0.001
cmrush,niiice,0.001
cmrush,love,0.001
cmrush,asuka,0.001
cmrush,<,0.001
cmrush,esp,0.001
cmrush,weekdays,0.001
cmrush,great,0.001
cmrush,sushi,0.001
cmrush,rolls,0.001
cmrush,super,0.001
cmrush,cheap,0.001
cmrush,hope,0.001
cmrush,youre,0.001
cmrush,weekend,0.001
nachojohnny,ilove,0.001
nachojohnny,<,0.001
nachojohnny,think,0.001
nachojohnny,ive,0.001
nachojohnny,seen,0.001
nachojohnny,every,0.001
nachojohnny,episode,0.001
nachojohnny,possible,0.001
nachojohnny,bout,0.001
teambudd1,hahaha,0.001
teambudd1,funny,0.001
teambudd1,reply,0.001
teambudd1,<,0.001
teambudd1,saying,0.001
teambudd1,kansas,0.001
teambudd1,appreciate,0.001
karon,saw,0.001
karon,two,0.001
karon,small,0.001
feel,like,0.001
feel,death,0.001
feel,<,0.001
feel,next,0.001
feel,investment,0.001
feel,going,0.001
feel,spa,0.001
feel,need,0.001
feel,new,0.001
feel,body,0.001
feel,function,0.001
feel,via,0.001
feel,ingadurgini,0.001
feel,herd,0.001
feel,sleep,0.001
feel,good,0.001
feel,4,0.001
feel,dat,0.001
goodnight,everybody,0.001
goodnight,<,0.001
goodnight,see,0.001
goodnight,u,0.001
goodnight,tomorrow,0.001
goodnight,night,0.001
goodnight,monday,0.001
goodnight,ciao,0.001
goodnight,friends,0.001
goodnight,xo,0.001
alright,finally,0.001
alright,woke,0.001
alright,ass,0.001
alright,late,0.001
alright,usual,0.001
alright,<,0.001
alright,coffee,0.001
alright,green,0.001
alright,time,0.001
alright,best,0.001
alright,part,0.001
alright,waking,0.001
alright,yeah,0.001
alright,im,0.001
alright,dork,0.001
im,bored,0.001
im,trying,0.001
im,figure,0.001
im,profiles,0.001
im,ive,0.001
im,made,0.001
im,net,0.001
im,remember,0.001
im,bit,0.001
im,brain,0.001
im,dead,0.001
im,moment,0.001
officialas,fair,0.001
officialas,enough,0.001
officialas,ill,0.001
officialas,slap,0.001
officialas,vis,0.001
officialas,comm,0.001
officialas,teachers,0.001
officialas,face,0.001
officialas,<,0.001
officialas,kk,0.001
officialas,lmao,0.001
officialas,thursday,0.001
yesterday,fantastic,0.001
yesterday,<,0.001
yesterday,saw,0.001
yesterday,fam,0.001
yesterday,oregon,0.001
yesterday,missed,0.001
yesterday,soo,0.001
yesterday,much,0.001
mrskutcher,poland,0.001
mrskutcher,mothers,0.001
mrskutcher,day,0.001
mrskutcher,26th,0.001
mrskutcher,may,0.001
mrskutcher,<,0.001
eastcoastgamblr,like,0.001
eastcoastgamblr,<,0.001
eastcoastgamblr,feel,0.001
eastcoastgamblr,today,0.001
lydiastack,mitchelmusso,0.001
lydiastack,australian,0.001
lydiastack,relese,0.001
lydiastack,<,0.001
lydiastack,know,0.001
lydiastack,please,0.001
lydiastack,write,0.001
lydiastack,back,0.001
back,work,0.001
beach,day,0.001
beach,<,0.001
beach,headed,0.001
beach,cats,0.001
beach,listen,0.001
beach,yankees,0.001
beach,game,0.001
beach,get,0.001
beach,place,0.001
beach,cleaned,0.001
beach,maybe,0.001
beach,read,0.001
beach,little,0.001
pulled,oboe,0.001
pulled,full,0.001
pulled,year,0.001
pulled,amp,0.001
pulled,definitely,0.001
pulled,longer,0.001
pulled,symphony,0.001
pulled,level,0.001
pulled,<,0.001
pulled,must,0.001
pulled,remedy,0.001
pulled,ow,0.001
pulled,lips,0.001
pulled,hurt,0.001
nessie111,f1,0.001
nessie111,today,0.001
nessie111,<,0.001
nessie111,oh,0.001
nessie111,well,0.001
nessie111,world,0.001
nessie111,cups,0.001
nessie111,really,0.001
nessie111,diverted,0.001
nessie111,attention,0.001
thegov,poop,0.001
thegov,forgot,0.001
package,arrived,0.001
package,cheryl,0.001
package,gave,0.001
package,xiaomantous,0.001
package,book,0.001
package,ordered,0.001
package,<,0.001
package,yay,0.001
nakulshenoy,lol,0.001
nakulshenoy,quottwiiter,0.001
nakulshenoy,killed,0.001
nakulshenoy,bloggerquot,0.001
nakulshenoy,far,0.001
nakulshenoy,apart,0.001
nakulshenoy,<,0.001
nakulshenoy,btw,0.001
nakulshenoy,quotblogging,0.001
nakulshenoy,traditional,0.001
nakulshenoy,sensequot,0.001
nakulshenoy,may,0.001
nakulshenoy,know,0.001
test,good,0.001
test,probably,0.001
test,going,0.001
test,get,0.001
test,torrent,0.001
test,<,0.001
jeddimkins,bahahah,0.001
jeddimkins,id,0.001
jeddimkins,advertise,0.001
jeddimkins,fat,0.001
jeddimkins,people,0.001
trying,amusing,0.001
trying,<,0.001
trying,canât,0.001
trying,make,0.001
trying,laugh,0.001
dannymcevoy,haha,0.001
dannymcevoy,<,0.001
dannymcevoy,leave,0.001
dannymcevoy,hull,0.001
dannymcevoy,alone,0.001
dannymcevoy,yeah,0.001
dannymcevoy,im,0.001
dannymcevoy,mate,0.001
good,ugh,0.001
good,clean,0.001
good,room,0.001
uyennguyen,<,0.001
uyennguyen,wanted,0.001
uyennguyen,upset,0.001
uyennguyen,day,0.001
ive,decided,0.001
ive,run,0.001
ive,laptop,0.001
ive,battery,0.001
ive,power,0.001
ive,cord,0.001
ive,case,0.001
ive,theres,0.001
ive,surge,0.001
ive,<,0.001
ive,stormy,0.001
hey,<,0.001
hey,someones,0.001
hey,happy,0.001
hey,someone,0.001
hey,aka,0.001
fear,come,0.001
fear,back,0.001
fear,<,0.001
fear,ride,0.001
peacep,knocked,0.001
peacep,door,0.001
peacep,see,0.001
peacep,wanted,0.001
peacep,go,0.001
peacep,kfc,0.001
peacep,guess,0.001
peacep,sleeping,0.001
peacep,lol,0.001
markvanbaale,didnt,0.001
markvanbaale,see,0.001
markvanbaale,anything,0.001
markvanbaale,watched,0.001
markvanbaale,awhile,0.001
markvanbaale,earlier,0.001
markvanbaale,evening,0.001
markvanbaale,get,0.001
markvanbaale,back,0.001
markvanbaale,deadlines,0.001
markvanbaale,<,0.001
courtney182,well,0.001
courtney182,youre,0.001
courtney182,breaking,0.001
courtney182,vodka,0.001
courtney182,ill,0.001
courtney182,lemon,0.001
courtney182,drop,0.001
grad,<,0.001
grad,party,0.001
grad,work,0.001
grad,124,0.001
grad,seth,0.001
grad,love,0.001
grad,summer,0.001
really,needs,0.001
really,start,0.001
really,tanning,0.001
really,right,0.001
really,arm,0.001
really,<,0.001
really,ugh,0.001
really,left,0.001
really,dark,0.001
really,driving,0.001
waiting,scrappers,0.001
waiting,come,0.001
waiting,pick,0.001
waiting,old,0.001
waiting,saab,0.001
went,bed,0.001
went,physically,0.001
went,pain,0.001
went,work,0.001
went,sicker,0.001
went,ive,0.001
went,years,0.001
went,<,0.001
went,coffee,0.001
traffic,moving,0.001
traffic,snails,0.001
traffic,pace,0.001
traffic,queen,0.001
traffic,street,0.001
traffic,east,0.001
traffic,<,0.001
traffic,streetcar,0.001
traffic,moved,0.001
traffic,one,0.001
traffic,block,0.001
traffic,10,0.001
traffic,minutes,0.001
traffic,university,0.001
traffic,york,0.001
davidarchie,make,0.001
davidarchie,sing,0.001
davidarchie,song,0.001
davidarchie,stage,0.001
davidarchie,<,0.001
davidarchie,amp,0.001
davidarchie,glad,0.001
davidarchie,fun,0.001
web,server,0.001
web,sorry,0.001
web,inconvenience,0.001
web,<,0.001
web,time,0.001
web,start,0.001
web,shopping,0.001
web,new,0.001
web,host,0.001
web,guess,0.001
smithycurt,nobbbbbyyy,0.001
smithycurt,nobby,0.001
smithycurt,nob,0.001
smithycurt,rotty,0.001
tweetdeck,stopped,0.001
tweetdeck,working,0.001
tweetdeck,bahh,0.001
hair,looks,0.001
hair,sicckkkk,0.001
hair,<,0.001
hair,happy,0.001
hair,mothers,0.001
hair,day,0.001
stephanie,pratt,0.001
stephanie,tells,0.001
stephanie,mtv,0.001
stephanie,news,0.001
stephanie,quotthe,0.001
stephanie,hills,0.001
stephanie,make,0.001
stephanie,bulimicquot,0.001
stephanie,http//bit,0.001
stephanie,<,0.001
stephanie,ly/n4wl4,0.001
stephanie,better,0.001
stephanie,still,0.001
stephanie,gt,0.001
stephanie,half,0.001
stephanie,story,0.001
stephanie,missing,0.001
hell,weekend,0.001
hell,go,0.001
hell,<,0.001
hell,one,0.001
hell,second,0.001
hell,friday,0.001
hell,woke,0.001
hell,monday,0.001
hell,sad,0.001
hell,state,0.001
hell,afairs,0.001
tweetdeck,updated,0.001
tweetdeck,fix,0.001
tweetdeck,crash,0.001
tweetdeck,removed,0.001
tweetdeck,minimize,0.001
tweetdeck,systray,0.001
tweetdeck,totally,0.001
tweetdeck,blows,0.001
fashionsourcing,thanks,0.001
fashionsourcing,invite,0.001
fashionsourcing,<,0.001
fashionsourcing,swamped,0.001
fashionsourcing,wont,0.001
fashionsourcing,able,0.001
fashionsourcing,make,0.001
fashionsourcing,leaving,0.001
fashionsourcing,hopefully,0.001
really,tired,0.001
really,man,0.001
lounging,<,0.001
lounging,got,0.001
lounging,sore,0.001
lounging,head,0.001
alexispratsides,thanks,0.001
alexispratsides,<,0.001
alexispratsides,lol,0.001
alexispratsides,sadly,0.001
alexispratsides,31,0.001
alexispratsides,waaahhhhh,0.001
bye,everyone,0.001
studin,test,0.001
studin,tomorrow,0.001
ngl,finishing,0.001
ngl,effy/emily,0.001
ngl,fic,0.001
ngl,got,0.001
ngl,puppy,0.001
ngl,much,0.001
ngl,love,0.001
ngl,ridiculous,0.001
ngl,completely,0.001
ngl,made,0.001
ngl,night,0.001
ngl,<,0.001
ngl,im,0.001
ngl,ecstatic,0.001
rotflmao,http//bit,0.001
rotflmao,<,0.001
rotflmao,ly/rwohr,0.001
rotflmao,quotmuthu,0.001
rotflmao,kodi,0.001
rotflmao,kawadi,0.001
rotflmao,hadaquot,0.001
rotflmao,tamil,0.001
rotflmao,would,0.001
rotflmao,u,0.001
rotflmao,come,0.001
rotflmao,bathquot,0.001
rotflmao,wtf,0.001
hmm,make,0.001
hmm,choice,0.001
hmm,decided,0.001
hmm,go,0.001
hmm,food,0.001
hmm,inc,0.001
hmm,<,0.001
hmm,reception,0.001
hmm,screening,0.001
hmm,instead,0.001
hmm,hanging,0.001
hmm,scgeek,0.001
hmm,dinner,0.001
tyrone,thanks,0.001
tyrone,making,0.001
tyrone,years,0.001
tyrone,golf,0.001
tyrone,course,0.001
tyrone,unforgettable,0.001
tyrone,rip,0.001
chuckiem,good,0.001
chuckiem,night,0.001
dmv,physical,0.001
dmv,exam,0.001
dmv,shuttle,0.001
dmv,job,0.001
play,golf,0.001
play,wonderful,0.001
play,husband,0.001
play,took,0.001
play,day,0.001
play,<,0.001
play,kids,0.001
play,still,0.001
play,school,0.001
micheleknight,awww,0.001
micheleknight,picasso,0.001
micheleknight,cute,0.001
micheleknight,<,0.001
shower/smoke/no,time,0.001
shower/smoke/no,razzle,0.001
shower/smoke/no,dazzle,0.001
want,chinese,0.001
want,tea,0.001
want,<,0.001
want,yet,0.001
want,another,0.001
want,leaflet,0.001
want,came,0.001
want,mail,0.001
want,slot,0.001
want,minute,0.001
want,ago,0.001
want,luton,0.001
want,really,0.001
want,looking,0.001
want,like,0.001
want,fast,0.001
want,food,0.001
go,away,0.001
go,wasps,0.001
jacdo,hey,0.001
jacdo,jacks,0.001
jacdo,looking,0.001
jacdo,cool,0.001
jacdo,food,0.001
jacdo,place,0.001
jacdo,<,0.001
jacdo,suggestions,0.001
jacdo,runs,0.001
jacdo,hides,0.001
love,<,0.001
love,andy,0.001
love,richter,0.001
love,back,0.001
love,joel,0.001
djsportschick,going,0.001
djsportschick,soo,0.001
djsportschick,love,0.001
djsportschick,pink,0.001
djsportschick,sings,0.001
djsportschick,glitter,0.001
djsportschick,air,0.001
djsportschick,show,0.001
djsportschick,amazing,0.001
djsportschick,beautiful,0.001
watching,army,0.001
watching,wives,0.001
watching,always,0.001
watching,makes,0.001
watching,cry,0.001
johnnytrouble,ive,0.001
johnnytrouble,dealing,0.001
johnnytrouble,roomate,0.001
johnnytrouble,crap,0.001
johnnytrouble,aside,0.001
johnnytrouble,nothing,0.001
johnnytrouble,cleaning,0.001
johnnytrouble,alot,0.001
johnnytrouble,<,0.001
johnnytrouble,miss,0.001
johnnytrouble,abi,0.001
got,pulled,0.001
got,nevada,0.001
got,state,0.001
got,popos,0.001
got,quite,0.001
got,grand,0.001
hisfitness,thanks,0.001
hisfitness,<,0.001
hisfitness,im,0.001
hisfitness,marketing/pr,0.001
hisfitness,guy,0.001
hisfitness,left,0.001
hisfitness,canvass,0.001
hisfitness,leader,0.001
hisfitness,center,0.001
hisfitness,politician,0.001
hisfitness,right,0.001
hisfitness,tomorrow,0.001
hisfitness,mitm4e,0.001
amazingphil,morning,0.001
amazingphil,roarface,0.001
arm,still,0.001
arm,hurts,0.001
arm,pulled,0.001
arm,yesterday,0.001
finished,saying,0.001
finished,prayers,0.001
wendym00n,yeah,0.001
wendym00n,dont,0.001
wendym00n,watch,0.001
wendym00n,lot,0.001
wendym00n,new,0.001
wendym00n,movies,0.001
wendym00n,<,0.001
wendym00n,actually,0.001
wendym00n,doctor,0.001
precise,public,0.001
precise,education,0.001
precise,best,0.001
precise,defense,0.001
precise,private,0.001
precise,deflation,0.001
kids,party,0.001
kids,sun,0.001
nathalichristy,les,0.001
nathalichristy,dan,0.001
nathalichristy,less,0.001
nathalichristy,aahahahah,0.001
nathalichristy,oi,0.001
nathalichristy,liburan,0.001
nathalichristy,kmn,0.001
nathalichristy,<,0.001
nathalichristy,hehe,0.001
painted,rims,0.001
painted,car,0.001
matthardybrand,lucky,0.001
matthardybrand,good,0.001
matthardybrand,friends,0.001
matthardybrand,im,0.001
matthardybrand,sure,0.001
matthardybrand,already,0.001
matthardybrand,knew,0.001
finished,12,0.001
finished,money,0.001
finished,55,0.001
finished,1,0.001
finished,ar,0.001
finished,stars,0.001
finished,played,0.001
finished,far,0.001
finished,aggressive,0.001
finished,trying,0.001
finished,build,0.001
finished,monster,0.001
finished,stack,0.001
finished,approaching,0.001
finished,bubble,0.001
finished,x,0.001
kks,nani,0.001
kks,tatis,0.001
kks,<,0.001
kks,love,0.001
kks,family,0.001
kks,going,0.001
kks,grad,0.001
kks,night,0.001
kks,soon,0.001
maryjors,back,0.001
maryjors,<,0.001
maryjors,thought,0.001
maryjors,left,0.001
maryjors,us,0.001
use,stumbleupon,0.001
use,please,0.001
use,give,0.001
use,site,0.001
use,thumbs,0.001
use,http//su,0.001
use,<,0.001
use,pr/1rxupy,0.001
bedoggtde,http//twitpic,0.001
bedoggtde,<,0.001
bedoggtde,com/6b03x,0.001
bedoggtde,awww,0.001
bedoggtde,little,0.001
bedoggtde,cousin,0.001
bedoggtde,cute,0.001
bedoggtde,get,0.001
bedoggtde,daddy,0.001
bet,mistaking,0.001
bet,<,0.001
bet,nah,0.001
bet,im,0.001
bet,surprised,0.001
omerrr,hoping,0.001
omerrr,subzero,0.001
omerrr,ice,0.001
omerrr,creap,0.001
omerrr,party,0.001
mommo9000,thanks,0.001
mommo9000,<,0.001
mommo9000,feel,0.001
mommo9000,need,0.001
mommo9000,fly,0.001
mommo9000,paitnbrush,0.001
mommo9000,ur,0.001
mommo9000,name,0.001
mommo9000,bring,0.001
mommo9000,linux,0.001
mommo9000,guru,0.001
supasash11,cavs,0.001
supasash11,fan,0.001
supasash11,series,0.001
supasash11,pay,0.001
supasash11,lakers,0.001
supasash11,ill,0.001
supasash11,rooting,0.001
stuck,rain,0.001
stuck,<,0.001
stuck,boohoo,0.001
watching,<,0.001
watching,v,0.001
watching,whilst,0.001
watching,phone,0.001
mayahzonfiya,sorrie,0.001
mayahzonfiya,aint,0.001
mayahzonfiya,get,0.001
mayahzonfiya,chance,0.001
mayahzonfiya,2,0.001
mayahzonfiya,stick,0.001
mayahzonfiya,around,0.001
mayahzonfiya,longer,0.001
goin,dinner,0.001
goin,<,0.001
babybree96,hide,0.001
babybree96,kittys,0.001
babybree96,<,0.001
prince,harry,0.001
prince,one,0.001
prince,blockk,0.001
prince,awayy,0.001
prince,x3,0.001
hungry,waiting,0.001
hungry,history,0.001
hungry,start,0.001
wussup,new,0.001
wussup,followers,0.001
wussup,<,0.001
egoodlett,angelajames,0.001
egoodlett,thank,0.001
egoodlett,helpin,0.001
egoodlett,kind,0.001
davidhenrie,say,0.001
davidhenrie,prayer,0.001
davidhenrie,friend,0.001
davidhenrie,chealse,0.001
davidhenrie,lost,0.001
davidhenrie,dad,0.001
davidhenrie,<,0.001
davidhenrie,wont,0.001
davidhenrie,see,0.001
davidhenrie,younglife,0.001
davidhenrie,group,0.001
davidhenrie,ye,0.001
today,sucks,0.001
r,rafaelvandyke,0.001
r,found,0.001
r,hole,0.001
r,11yo,0.001
r,sons,0.001
r,bedroom,0.001
r,wall,0.001
r,<,0.001
r,momma,0.001
r,happy,0.001
r,gt,0.001
r,toys,0.001
r,strategically,0.001
r,stacked,0.001
headache,wont,0.001
headache,keep,0.001
headache,twitter,0.001
headache,<,0.001
headache,tired,0.001
headache,gossip,0.001
headache,heart,0.001
headache,breaks,0.001
headache,everytime,0.001
headache,name,0.001
headache,come,0.001
6,daays,0.001
6,go,0.001
6,away,0.001
6,duke,0.001
6,ed,0.001
6,<,0.001
6,im,0.001
6,like,0.001
6,really,0.001
6,excited,0.001
miss,baby,0.001
miss,know,0.001
miss,hes,0.001
miss,sleep,0.001
miss,grandma,0.001
miss,house,0.001
miss,missin,0.001
miss,mommy,0.001
totally,bummed,0.001
totally,wont,0.001
totally,see,0.001
totally,buddy,0.001
totally,nels,0.001
totally,monday,0.001
celine,dion,0.001
celine,song,0.001
celine,stuck,0.001
celine,head,0.001
celine,<,0.001
celine,statement,0.001
celine,sort,0.001
celine,summary,0.001
celine,things,0.001
celine,gone,0.001
celine,today,0.001
celine,okay,0.001
celine,bad,0.001
celine,o/,0.001
good,twitter,0.001
good,set,0.001
good,microwave,0.001
good,work,0.001
good,fire,0.001
good,allowed,0.001
good,2,0.001
good,use,0.001
good,anymore,0.001
good,amp,0.001
good,ppl,0.001
good,wonder,0.001
good,dont,0.001
good,hav,0.001
good,1,0.001
good,home,0.001
rainbowsleeve,thanks,0.001
rainbowsleeve,passing,0.001
rainbowsleeve,word,0.001
rainbowsleeve,plastic,0.001
rainbowsleeve,bags,0.001
rainbowsleeve,petition,0.001
rainbowsleeve,http//tinyurl,0.001
rainbowsleeve,<,0.001
rainbowsleeve,com/dk5p94,0.001
small,problem,0.001
small,testing,0.001
small,php/mysql,0.001
small,demo,0.001
small,need,0.001
small,use,0.001
small,two,0.001
small,seperate,0.001
small,browsers,0.001
small,test,0.001
small,otherwise,0.001
small,cookie,0.001
small,code,0.001
small,gives,0.001
small,name,0.001
chriscavs,could,0.001
chriscavs,send,0.001
chriscavs,spam,0.001
chriscavs,replies,0.001
chriscavs,got,0.001
chriscavs,tweet,0.001
chriscavs,probably,0.001
chriscavs,wont,0.001
chriscavs,help,0.001
chriscavs,though,0.001
chriscavs,<,0.001
